method,step_nm,rms_nm,sample_reflectivity,sample_visibility_scale,coherence_model,incidence_cos,coherence_class,coherence_quant,lambda_class_nm,lambda1_nm,lambda2_nm,lambda_eff_um,class_visibility,class_visibility_eff,class_photons_per_pixel,class_photons_per_pixel_eff,class_mean_counts_per_pixel_frame,crlb_phi_rad_mean,crlb_phi_rad_median,crlb_phi_rad_p90,crlb_h_nm_mean,crlb_h_nm_median,crlb_h_nm_p90,quant_interferometer,quant_detector_model,quant_visibility,quant_visibility_eff,quant_pairs_per_pixel,quant_pairs_per_pixel_eff,gate_time_s,tau_c_s,eta1,eta2,dark1_hz,dark2_hz,phase_step_sigma_deg,deadtime1_s,deadtime2_s,background_drift_frac,amplitude_drift_frac,normalize_frames,hybrid_smooth_sigma_px,recon,rep,Sa_true_nm,Sq_true_nm,Sz_true_nm,Sa_est_nm,Sq_est_nm,Sz_est_nm,bias_Sa_nm,bias_Sq_nm,bias_Sz_nm,rmse_h_nm,step_est_nm,step_err_nm,quant_mean_counts_per_pixel_frame,crlb_phi_coarse_rad_median,crlb_h_coarse_nm_median,quant_target_mean_counts,quant_target_mean_counts_eff,su11_gain
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79998.85850524902,0.07608603850848392,0.07564031946461029,0.0838520026490762,2.4521674986033672,2.4378024748181746,2.7024557937254245,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,3,64.69882142805872,79.9962728428014,496.99731553182613,64.71965405824551,80.01842766463663,499.8216930010986,0.020832630186792014,0.022154821835227097,2.824377469272469,2.4640685425508013,3.10189870376783,3.10189870376783,29999.36769104004,nan,nan,30000.0,30000.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79998.85850524902,0.21374882425485628,0.20415900231008294,0.2755658424481627,9.049102401424157,8.643115228899596,11.666139148793404,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,3,64.69882142805872,79.9962728428014,496.99731553182613,64.99905059938527,80.43754062288401,520.4381986886406,0.30022917132655463,0.4412677800826156,23.440883156814415,9.087937488225768,2.5091073464013007,2.5091073464013007,29999.36769104004,0.07564031946461029,2.4378024748181746,30000.0,30000.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,80001.6263885498,0.21400730797219236,0.2041665271891782,0.2757111861893151,9.060045365136023,8.643433796272907,11.672292307304003,-,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,4,64.64017692465141,79.88821086621266,496.3154119796947,65.01549340932489,80.33833995531047,504.9245120011308,0.37531648467347983,0.4501290890978196,8.609100021436062,8.990765680609707,-16.523606266901034,-16.523606266901034,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80001.6263885498,0.07606879046538516,0.07562078034185235,0.0837405625936419,2.4516116135615063,2.4371727508541268,2.6988642060000614,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,4,64.64017692465141,79.88821086621266,496.3154119796947,64.66509678212209,79.92668819743798,498.22439141480095,0.024919857470682018,0.03847733122532534,1.908979435106211,2.4639192825244294,-17.58002654477867,-17.58002654477867,30000.866149902344,nan,nan,30000.0,30000.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80001.6263885498,0.21400730797219236,0.2041665271891782,0.2757111861893151,9.060045365136023,8.643433796272907,11.672292307304003,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,4,64.64017692465141,79.88821086621266,496.3154119796947,65.0154934093249,80.33833995531047,504.9245120011309,0.37531648467349304,0.4501290890978196,8.609100021436166,8.990765680609705,-16.523606266901066,-16.523606266901066,30000.866149902344,0.07562078034185235,2.4371727508541268,30000.0,30000.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,80000.17610168457,0.21400217940683106,0.2043619396499333,0.2759380164397307,9.059828246219517,8.651706624785774,11.68189521469265,-,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,5,63.83196241206738,78.72142622258168,497.24798357818315,64.28887303231075,79.29827698770528,504.9519418427837,0.4569106202433761,0.576850765123595,7.703958264600501,9.023916898158637,-16.215916040412594,-16.215916040412594,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80000.17610168457,0.07604398604061266,0.07565600581553501,0.0836858087859667,2.450812194831855,2.4383080282766447,2.6970995523232775,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,5,63.83196241206738,78.72142622258168,497.24798357818315,63.846285693364045,78.73173925201515,496.9933504631776,0.014323281296673583,0.010313029433463784,-0.25463311500557095,2.4618084348533196,-16.582829932126508,-16.582829932126508,30000.054595947266,nan,nan,30000.0,30000.0,0.0
hybrid_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,80000.17610168457,0.21400217940683106,0.2043619396499333,0.2759380164397307,9.059828246219517,8.651706624785774,11.68189521469265,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,5,63.83196241206738,78.72142622258168,497.24798357818315,64.28887303231075,79.29827698770528,504.95194184278347,0.4569106202433761,0.576850765123595,7.703958264600288,9.023916898158637,-16.215916040412576,-16.215916040412576,30000.054595947266,0.07565600581553501,2.4383080282766447,30000.0,30000.0,0.0
classical,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,655.2899999999507,0.85,0.02391119201752849,80000.0,80000.0,79998.9992980957,0.21484368446505187,0.20475754705911392,0.2775363116926213,9.09545354366713,8.668454749454611,11.749559387637397,-,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,6,64.00824378958805,79.81191698851954,520.6375093880803,64.51433111804782,80.4123659661831,548.3065834883434,0.5060873284597655,0.6004489776635621,27.669074100263195,9.068896598896481,-3.5998489577353077,-3.5998489577353077,,,,,,
quant_noon2,0.0,80.0,1.0,1.0,rayleigh,1.0,0.028130814138268814,0.2138907659724164,532.0,810.0,809.0,0.405,0.85,0.02391119201752849,80000.0,80000.0,79998.9992980957,0.07613072604020213,0.07572833728579051,0.0837642306721633,2.453607727520792,2.4406391902606783,2.6996270015673205,noon2,rates,0.6,0.12833445958344983,30000.0,30000.0,0.001,2e-08,1.0,1.0,0.0,0.0,0.0,5e-09,5e-09,0.0,0.0,0,1.5,psi4,6,64.00824378958805,79.81191698851954,520.6375093880803,64.0521980975116,79.85958612142282,523.4683129134255,0.043954307923557055,0.047669132903273,2.83080352534522,2.4721646680368408,-4.100993220944561,-4.100993220944561,29999.407516479492,nan,nan,30000.0,30000.0,0.0
